ts,gpu_used_mib_0,gpu_used_mib_1,gpu_used_mib_2,shards,sha256sums,total_bytes,complete
2026-08-30T05:17:46Z,59290,58068,64230,2,0,38656451427,0
2026-08-30T05:18:47Z,59290,58068,64230,2,0,40186217315,0
2026-08-30T05:19:47Z,59290,58068,64230,2,0,41838486371,0
2026-08-30T05:20:47Z,59290,58068,64230,2,0,43473896291,0
2026-08-30T05:21:47Z,59290,58068,64230,2,0,44894290787,0
2026-08-30T05:22:47Z,59290,58068,64230,2,0,46434640739,0
2026-08-30T05:23:47Z,59290,58068,64230,2,0,47817139043,0
2026-08-30T05:24:47Z,59290,58068,64230,2,0,49238647651,0
2026-08-30T05:25:47Z,59290,58068,64230,3,0,50882803715,0
2026-08-30T05:26:47Z,59290,58068,64230,3,0,52165163011,0
2026-08-30T05:27:47Z,59290,58068,64230,3,0,53471787011,0
2026-08-30T05:28:47Z,59290,58068,64230,3,0,54843373571,0
2026-08-30T05:29:47Z,59290,58068,64230,3,0,56136407043,0
2026-08-30T05:30:47Z,59290,58068,64230,3,0,57798621187,0
2026-08-30T05:31:48Z,59290,58068,64230,3,0,59812878339,0
2026-08-30T05:32:48Z,59290,58068,64230,3,0,61957158915,0
2026-08-30T05:33:48Z,59290,58068,64230,3,0,63951738883,0
2026-08-30T05:34:48Z,59290,58068,64230,3,0,65810610179,0
2026-08-30T05:35:48Z,59290,58068,64230,3,0,67959527427,0
2026-08-30T05:36:48Z,59290,58068,64230,3,0,70103611395,0
2026-08-30T05:37:48Z,59290,58068,64230,3,0,72061802499,0
